브랜드,성별,연령대,평균검색관심도
오쏘몰,남성,0~12세,20.444
오쏘몰,남성,13~18세,53.025
오쏘몰,남성,19~24세,62.887
오쏘몰,남성,25~29세,62.243
오쏘몰,남성,30~34세,62.314
오쏘몰,남성,35~39세,70.75
오쏘몰,남성,40~44세,69.219
오쏘몰,남성,45~49세,70.487
오쏘몰,남성,50~54세,71.585
오쏘몰,남성,55~60세,71.75
오쏘몰,남성,60세 이상,78.761
오쏘몰,여성,0~12세,17.857
오쏘몰,여성,13~18세,56.287
오쏘몰,여성,19~24세,62.896
오쏘몰,여성,25~29세,57.055
오쏘몰,여성,30~34세,58.035
오쏘몰,여성,35~39세,57.434
오쏘몰,여성,40~44세,54.241
오쏘몰,여성,45~49세,53.115
오쏘몰,여성,50~54세,53.691
오쏘몰,여성,55~60세,58.529
오쏘몰,여성,60세 이상,57.98
아임비타,남성,0~12세,37.662
아임비타,남성,13~18세,57.465
아임비타,남성,19~24세,58.866
아임비타,남성,25~29세,61.111
아임비타,남성,30~34세,68.287
아임비타,남성,35~39세,72.066
아임비타,남성,40~44세,67.939
아임비타,남성,45~49세,69.019
아임비타,남성,50~54세,73.175
아임비타,남성,55~60세,75.901
아임비타,남성,60세 이상,71.165
아임비타,여성,0~12세,46.914
아임비타,여성,13~18세,54.902
아임비타,여성,19~24세,69.329
아임비타,여성,25~29세,63.542
아임비타,여성,30~34세,65.874
아임비타,여성,35~39세,65.47
아임비타,여성,40~44세,63.063
아임비타,여성,45~49세,62.759
아임비타,여성,50~54세,70.318
아임비타,여성,55~60세,72.681
아임비타,여성,60세 이상,70.719
센트룸,남성,0~12세,33.333
센트룸,남성,13~18세,70.543
센트룸,남성,19~24세,75.292
센트룸,남성,25~29세,75.449
센트룸,남성,30~34세,73.497
센트룸,남성,35~39세,73.215
센트룸,남성,40~44세,69.365
센트룸,남성,45~49세,76.158
센트룸,남성,50~54세,75.76
센트룸,남성,55~60세,79.384
센트룸,남성,60세 이상,73.845
센트룸,여성,0~12세,41.667
센트룸,여성,13~18세,69.033
센트룸,여성,19~24세,74.242
센트룸,여성,25~29세,74.517
센트룸,여성,30~34세,70.239
센트룸,여성,35~39세,73.485
센트룸,여성,40~44세,69.388
센트룸,여성,45~49세,67.962
센트룸,여성,50~54세,67.209
센트룸,여성,55~60세,71.476
센트룸,여성,60세 이상,72.324
고려은단,남성,0~12세,40.0
고려은단,남성,13~18세,69.769
고려은단,남성,19~24세,86.39
고려은단,남성,25~29세,86.714
고려은단,남성,30~34세,89.495
고려은단,남성,35~39세,88.791
고려은단,남성,40~44세,87.706
고려은단,남성,45~49세,85.264
고려은단,남성,50~54세,80.191
고려은단,남성,55~60세,83.074
고려은단,남성,60세 이상,83.856
고려은단,여성,0~12세,59.259
고려은단,여성,13~18세,77.046
고려은단,여성,19~24세,80.864
고려은단,여성,25~29세,88.382
고려은단,여성,30~34세,87.415
고려은단,여성,35~39세,89.216
고려은단,여성,40~44세,91.046
고려은단,여성,45~49세,88.925
고려은단,여성,50~54세,90.457
고려은단,여성,55~60세,79.146
고려은단,여성,60세 이상,77.42
