키워드,연령대,평균검색관심도
상사 선물,0~12세,0
상사 선물,13~18세,100.0
상사 선물,19~24세,42.21
상사 선물,25~29세,46.117
상사 선물,30~34세,29.508
상사 선물,35~39세,37.565
상사 선물,40~44세,38.615
상사 선물,45~49세,36.458
상사 선물,50~54세,35.145
상사 선물,55~60세,50.0
상사 선물,60세 이상,47.222
거래처 선물,0~12세,100.0
거래처 선물,13~18세,66.667
거래처 선물,19~24세,38.828
거래처 선물,25~29세,27.517
거래처 선물,30~34세,35.799
거래처 선물,35~39세,25.434
거래처 선물,40~44세,31.682
거래처 선물,45~49세,31.222
거래처 선물,50~54세,39.904
거래처 선물,55~60세,34.448
거래처 선물,60세 이상,40.278
부모님 선물,0~12세,48.923
부모님 선물,13~18세,55.118
부모님 선물,19~24세,56.55
부모님 선물,25~29세,56.335
부모님 선물,30~34세,57.379
부모님 선물,35~39세,50.94
부모님 선물,40~44세,46.08
부모님 선물,45~49세,40.075
부모님 선물,50~54세,42.293
부모님 선물,55~60세,44.427
부모님 선물,60세 이상,47.849
동료 선물,0~12세,0
동료 선물,13~18세,100.0
동료 선물,19~24세,37.5
동료 선물,25~29세,29.464
동료 선물,30~34세,22.75
동료 선물,35~39세,26.341
동료 선물,40~44세,21.021
동료 선물,45~49세,32.0
동료 선물,50~54세,41.667
동료 선물,55~60세,83.333
동료 선물,60세 이상,100.0
첫만남 선물,0~12세,0
첫만남 선물,13~18세,25.0
첫만남 선물,19~24세,50.45
첫만남 선물,25~29세,47.465
첫만남 선물,30~34세,61.771
첫만남 선물,35~39세,58.425
첫만남 선물,40~44세,60.14
첫만남 선물,45~49세,52.976
첫만남 선물,50~54세,49.65
첫만남 선물,55~60세,48.76
첫만남 선물,60세 이상,64.286
