키워드,연령대,평균검색관심도
부모님 선물추천,19~24세,48.143
부모님 선물추천,25~29세,48.806
부모님 선물추천,30~34세,57.029
부모님 선물추천,35~39세,59.799
상사 선물추천,19~24세,62.927
상사 선물추천,25~29세,48.81
상사 선물추천,30~34세,44.595
상사 선물추천,35~39세,37.0
생일선물 추천,19~24세,57.274
생일선물 추천,25~29세,61.079
생일선물 추천,30~34세,60.643
생일선물 추천,35~39세,60.03
첫만남 선물추천,19~24세,65.0
첫만남 선물추천,25~29세,36.111
첫만남 선물추천,30~34세,48.214
첫만남 선물추천,35~39세,66.667
지인 선물추천,19~24세,33.796
지인 선물추천,25~29세,58.889
지인 선물추천,30~34세,52.508
지인 선물추천,35~39세,47.395
센스있는 선물추천,19~24세,100.0
센스있는 선물추천,25~29세,100.0
센스있는 선물추천,30~34세,100.0
센스있는 선물추천,35~39세,100.0
적당한 선물추천,19~24세,0
적당한 선물추천,25~29세,0
적당한 선물추천,30~34세,0
적당한 선물추천,35~39세,0
