키워드그룹,기간,검색관심도(상대값)
오쏘몰,2025-09-08,77.72602
오쏘몰,2025-09-15,86.39282
오쏘몰,2025-09-22,100.0
오쏘몰,2025-09-29,90.41569
오쏘몰,2025-10-06,54.16754
오쏘몰,2025-10-13,66.80076
오쏘몰,2025-10-20,67.48535
오쏘몰,2025-10-27,68.67104
오쏘몰,2025-11-03,72.99738
오쏘몰,2025-11-10,66.18674
오쏘몰,2025-11-17,58.13395
오쏘몰,2025-11-24,55.95313
오쏘몰,2025-12-01,54.51337
오쏘몰,2025-12-08,54.47808
오쏘몰,2025-12-15,52.07142
오쏘몰,2025-12-22,44.42797
오쏘몰,2025-12-29,40.94149
오쏘몰,2026-01-05,45.54308
오쏘몰,2026-01-12,46.023
오쏘몰,2026-01-19,45.79716
오쏘몰,2026-01-26,51.41506
오쏘몰,2026-02-02,59.52431
오쏘몰,2026-02-09,65.38217
오쏘몰,2026-02-16,42.38125
오쏘몰,2026-02-23,45.25372
오쏘몰,2026-03-02,42.13423
오쏘몰,2026-03-09,43.9904
오쏘몰,2026-03-16,46.04418
오쏘몰,2026-03-23,47.85094
오쏘몰,2026-03-30,50.4905
오쏘몰,2026-04-06,48.34497
오쏘몰,2026-04-13,48.21088
오쏘몰,2026-04-20,47.10988
오쏘몰,2026-04-27,58.0422
오쏘몰,2026-05-04,61.47928
오쏘몰,2026-05-11,54.16754
오쏘몰,2026-05-18,39.76992
오쏘몰,2026-05-25,37.97727
오쏘몰,2026-06-01,36.00112
오쏘몰,2026-06-08,38.04785
오쏘몰,2026-06-15,35.33065
오쏘몰,2026-06-22,36.17051
오쏘몰,2026-06-29,35.62707
오쏘몰,2026-07-06,32.49347
오쏘몰,2026-07-13,32.45112
오쏘몰,2026-07-20,32.41583
오쏘몰,2026-07-27,31.58303
오쏘몰,2026-08-03,30.90549
오쏘몰,2026-08-10,32.2041
오쏘몰,2026-08-17,31.17368
오쏘몰,2026-08-24,34.73075
오쏘몰,2026-08-31,24.82179
선물 추천,2025-09-08,18.63222
선물 추천,2025-09-15,20.57308
선물 추천,2025-09-22,21.77994
선물 추천,2025-09-29,18.14524
선물 추천,2025-10-06,10.25478
선물 추천,2025-10-13,13.79772
선물 추천,2025-10-20,13.53659
선물 추천,2025-10-27,14.77168
선물 추천,2025-11-03,15.80916
선물 추천,2025-11-10,15.03281
선물 추천,2025-11-17,16.10558
선물 추천,2025-11-24,19.0698
선물 추천,2025-12-01,23.2197
선물 추천,2025-12-08,29.31046
선물 추천,2025-12-15,34.48373
선물 추천,2025-12-22,35.53532
선물 추천,2025-12-29,24.58183
선물 추천,2026-01-05,22.60568
선물 추천,2026-01-12,21.09534
선물 추천,2026-01-19,20.83421
선물 추천,2026-01-26,22.01284
선물 추천,2026-02-02,20.05787
선물 추천,2026-02-09,16.17615
선물 추천,2026-02-16,10.88997
선물 추천,2026-02-23,10.92525
선물 추천,2026-03-02,8.53976
선물 추천,2026-03-09,7.52346
선물 추천,2026-03-16,7.30467
선물 추천,2026-03-23,7.14941
선물 추천,2026-03-30,6.93768
선물 추천,2026-04-06,8.23629
선물 추천,2026-04-13,8.0175
선물 추천,2026-04-20,7.94692
선물 추천,2026-04-27,8.20805
선물 추천,2026-05-04,7.67167
선물 추천,2026-05-11,7.02237
선물 추천,2026-05-18,6.0837
선물 추천,2026-05-25,6.33072
선물 추천,2026-06-01,6.34483
선물 추천,2026-06-08,6.85298
선물 추천,2026-06-15,6.28131
선물 추천,2026-06-22,6.66948
선물 추천,2026-06-29,6.57068
선물 추천,2026-07-06,6.20368
선물 추천,2026-07-13,6.29543
선물 추천,2026-07-20,6.00606
선물 추천,2026-07-27,6.2672
선물 추천,2026-08-03,6.64125
선물 추천,2026-08-10,7.1
선물 추천,2026-08-17,7.07177
선물 추천,2026-08-24,7.57992
선물 추천,2026-08-31,4.9333
부담없는 선물,2025-09-08,0.27524
부담없는 선물,2025-09-15,0.33171
부담없는 선물,2025-09-22,0.47992
부담없는 선물,2025-09-29,0.30347
부담없는 선물,2025-10-06,0.08469
부담없는 선물,2025-10-13,0.25407
부담없는 선물,2025-10-20,0.18349
부담없는 선물,2025-10-27,0.14821
부담없는 선물,2025-11-03,0.13409
부담없는 선물,2025-11-10,0.16232
부담없는 선물,2025-11-17,0.17644
부담없는 선물,2025-11-24,0.27524
부담없는 선물,2025-12-01,0.2823
부담없는 선물,2025-12-08,0.6987
부담없는 선물,2025-12-15,0.6987
부담없는 선물,2025-12-22,0.73399
부담없는 선물,2025-12-29,0.33876
부담없는 선물,2026-01-05,0.32465
부담없는 선물,2026-01-12,0.25407
부담없는 선물,2026-01-19,0.11998
부담없는 선물,2026-01-26,0.27524
부담없는 선물,2026-02-02,0.47286
부담없는 선물,2026-02-09,0.61401
부담없는 선물,2026-02-16,0.31759
부담없는 선물,2026-02-23,0.2823
부담없는 선물,2026-03-02,0.0494
부담없는 선물,2026-03-09,0.07763
부담없는 선물,2026-03-16,0.09174
부담없는 선물,2026-03-23,0.04234
부담없는 선물,2026-03-30,0.21172
부담없는 선물,2026-04-06,0.07763
부담없는 선물,2026-04-27,0.04234
부담없는 선물,2026-05-04,0.03528
부담없는 선물,2026-05-11,0.16232
부담없는 선물,2026-05-18,0.11998
부담없는 선물,2026-05-25,0.07763
부담없는 선물,2026-06-15,0.11292
부담없는 선물,2026-06-22,0.03528
부담없는 선물,2026-06-29,0.12703
부담없는 선물,2026-07-06,0.0988
부담없는 선물,2026-07-13,0.03528
부담없는 선물,2026-07-20,0.16938
부담없는 선물,2026-07-27,0.11292
부담없는 선물,2026-08-10,0.04234
부담없는 선물,2026-08-24,0.03528
고급 선물,2025-09-08,1.65855
고급 선물,2025-09-15,1.96908
고급 선물,2025-09-22,1.92674
고급 선물,2025-09-29,1.36212
고급 선물,2025-10-06,0.53638
고급 선물,2025-10-13,1.00924
고급 선물,2025-10-20,1.03041
고급 선물,2025-10-27,1.60914
고급 선물,2025-11-03,1.96908
고급 선물,2025-11-10,1.87733
고급 선물,2025-11-17,1.82087
고급 선물,2025-11-24,2.35725
고급 선물,2025-12-01,2.36431
고급 선물,2025-12-08,2.83012
고급 선물,2025-12-15,2.62544
고급 선물,2025-12-22,2.62544
고급 선물,2025-12-29,1.94791
고급 선물,2026-01-05,2.12435
고급 선물,2026-01-12,2.43489
고급 선물,2026-01-19,2.08906
고급 선물,2026-01-26,2.32902
고급 선물,2026-02-02,3.95229
고급 선물,2026-02-09,3.33827
고급 선물,2026-02-16,1.30566
고급 선물,2026-02-23,1.44682
고급 선물,2026-03-02,1.31272
고급 선물,2026-03-09,1.46093
고급 선물,2026-03-16,1.30566
고급 선물,2026-03-23,1.25626
고급 선물,2026-03-30,1.13628
고급 선물,2026-04-06,1.23509
고급 선물,2026-04-13,1.10099
고급 선물,2026-04-20,1.12216
고급 선물,2026-04-27,1.21391
고급 선물,2026-05-04,1.43976
고급 선물,2026-05-11,1.54562
고급 선물,2026-05-18,1.12216
고급 선물,2026-05-25,1.12922
고급 선물,2026-06-01,1.35507
고급 선물,2026-06-08,1.36918
고급 선물,2026-06-15,1.64443
고급 선물,2026-06-22,1.34801
고급 선물,2026-06-29,1.46093
고급 선물,2026-07-06,1.10805
고급 선물,2026-07-13,0.98101
고급 선물,2026-07-20,1.08687
고급 선물,2026-07-27,0.88926
고급 선물,2026-08-03,0.93161
고급 선물,2026-08-10,1.31272
고급 선물,2026-08-17,1.20686
고급 선물,2026-08-24,1.42564
