키워드그룹,기간,검색관심도(상대값)
오쏘몰(브랜드명),2025-09-01,100
오쏘몰(브랜드명),2025-10-01,78.59243
오쏘몰(브랜드명),2025-11-01,73.41363
오쏘몰(브랜드명),2025-12-01,60.2523
오쏘몰(브랜드명),2026-01-01,54.99762
오쏘몰(브랜드명),2026-02-01,57.43147
오쏘몰(브랜드명),2026-03-01,53.40605
오쏘몰(브랜드명),2026-04-01,58.64554
오쏘몰(브랜드명),2026-05-01,57.52821
오쏘몰(브랜드명),2026-06-01,42.09807
오쏘몰(브랜드명),2026-07-01,39.03063
오쏘몰(브랜드명),2026-08-01,33.41743
오쏘몰 후기,2025-10-01,0.00948
오쏘몰 후기,2025-11-01,0.12709
오쏘몰 후기,2025-12-01,0.16503
오쏘몰 후기,2026-01-01,0.08915
오쏘몰 후기,2026-02-01,0.04173
오쏘몰 후기,2026-03-01,0.02086
오쏘몰 후기,2026-04-01,0.24091
오쏘몰 후기,2026-05-01,0.25419
오쏘몰 후기,2026-06-01,0.21056
오쏘몰 후기,2026-07-01,0.00948
오쏘몰 후기,2026-08-01,0.02086
오쏘몰 가격,2025-09-01,0.26747
오쏘몰 가격,2025-10-01,0.36042
오쏘몰 가격,2025-11-01,0.40216
오쏘몰 가격,2025-12-01,0.23143
오쏘몰 가격,2026-01-01,0.20487
오쏘몰 가격,2026-02-01,0.21625
오쏘몰 가격,2026-03-01,0.14227
오쏘몰 가격,2026-04-01,0.15745
오쏘몰 가격,2026-05-01,0.09105
오쏘몰 가격,2026-06-01,0.03035
오쏘몰 가격,2026-07-01,0.03793
오쏘몰 가격,2026-08-01,0.03604
오쏘몰 부작용,2025-09-01,0.43061
오쏘몰 부작용,2025-10-01,0.70757
오쏘몰 부작용,2025-11-01,0.49321
오쏘몰 부작용,2025-12-01,0.29023
오쏘몰 부작용,2026-01-01,0.17642
오쏘몰 부작용,2026-02-01,0.17452
오쏘몰 부작용,2026-03-01,0.27506
오쏘몰 부작용,2026-04-01,0.60514
오쏘몰 부작용,2026-05-01,0.51787
오쏘몰 부작용,2026-06-01,0.2523
오쏘몰 부작용,2026-07-01,0.09295
오쏘몰 부작용,2026-08-01,0.06449
오쏘몰 정품,2025-10-01,0.01327
