브랜드,기간,검색관심도(상대값)
오쏘몰,2025-09-01,89.58889
오쏘몰,2025-10-01,70.41008
오쏘몰,2025-11-01,65.77046
오쏘몰,2025-12-01,53.97936
오쏘몰,2026-01-01,49.27176
오쏘몰,2026-02-01,51.45221
오쏘몰,2026-03-01,47.84588
오쏘몰,2026-04-01,52.53989
오쏘몰,2026-05-01,51.53889
오쏘몰,2026-06-01,37.71519
오쏘몰,2026-07-01,34.96711
오쏘몰,2026-08-01,29.9383
아임비타,2025-09-01,53.1925
아임비타,2025-10-01,42.054
아임비타,2025-11-01,35.86104
아임비타,2025-12-01,34.13606
아임비타,2026-01-01,34.48955
아임비타,2026-02-01,43.20966
아임비타,2026-03-01,35.62311
아임비타,2026-04-01,35.42427
아임비타,2026-05-01,34.46916
아임비타,2026-06-01,36.46606
아임비타,2026-07-01,27.46214
아임비타,2026-08-01,22.10533
센트룸,2025-09-01,79.74371
센트룸,2025-10-01,56.23969
센트룸,2025-11-01,50.38323
센트룸,2025-12-01,61.65938
센트룸,2026-01-01,58.47963
센트룸,2026-02-01,61.21241
센트룸,2026-03-01,59.55201
센트룸,2026-04-01,58.79743
센트룸,2026-05-01,61.65258
센트룸,2026-06-01,46.56277
센트룸,2026-07-01,44.11719
센트룸,2026-08-01,40.26784
고려은단,2025-09-01,84.99685
고려은단,2025-10-01,74.70301
고려은단,2025-11-01,77.12989
고려은단,2025-12-01,88.13922
고려은단,2026-01-01,100
고려은단,2026-02-01,89.5311
고려은단,2026-03-01,98.79675
고려은단,2026-04-01,92.18232
고려은단,2026-05-01,89.69765
고려은단,2026-06-01,88.02365
고려은단,2026-07-01,92.55621
고려은단,2026-08-01,88.8819
