키워드그룹,기간,검색관심도(상대값)
오쏘몰,2025-09-01,5.91194
오쏘몰,2025-09-08,6.32549
오쏘몰,2025-09-15,7.03081
오쏘몰,2025-09-22,8.13819
오쏘몰,2025-09-29,7.3582
오쏘몰,2025-10-06,4.40825
오쏘몰,2025-10-13,5.43637
오쏘몰,2025-10-20,5.49208
오쏘몰,2025-10-27,5.58858
오쏘몰,2025-11-03,5.94066
오쏘몰,2025-11-10,5.3864
오쏘몰,2025-11-17,4.73105
오쏘몰,2025-11-24,4.55357
오쏘몰,2025-12-01,4.4364
오쏘몰,2025-12-08,4.43353
오쏘몰,2025-12-15,4.23767
오쏘몰,2025-12-22,3.61563
오쏘몰,2025-12-29,3.33189
오쏘몰,2026-01-05,3.70638
오쏘몰,2026-01-12,3.74544
오쏘몰,2026-01-19,3.72706
오쏘몰,2026-01-26,4.18425
오쏘몰,2026-02-02,4.8442
오쏘몰,2026-02-09,5.32092
오쏘몰,2026-02-16,3.44906
오쏘몰,2026-02-23,3.68283
오쏘몰,2026-03-02,3.42896
오쏘몰,2026-03-09,3.58002
오쏘몰,2026-03-16,3.74716
오쏘몰,2026-03-23,3.8942
오쏘몰,2026-03-30,4.10901
오쏘몰,2026-04-06,3.9344
오쏘몰,2026-04-13,3.92349
오쏘몰,2026-04-20,3.83389
오쏘몰,2026-04-27,4.72358
오쏘몰,2026-05-04,5.0033
오쏘몰,2026-05-11,4.40825
오쏘몰,2026-05-18,3.23655
오쏘몰,2026-05-25,3.09066
오쏘몰,2026-06-01,2.92984
오쏘몰,2026-06-08,3.0964
오쏘몰,2026-06-15,2.87527
오쏘몰,2026-06-22,2.94362
오쏘몰,2026-06-29,2.89939
오쏘몰,2026-07-06,2.64438
오쏘몰,2026-07-13,2.64093
오쏘몰,2026-07-20,2.63806
오쏘몰,2026-07-27,2.57028
오쏘몰,2026-08-03,2.51514
오쏘몰,2026-08-10,2.62083
오쏘몰,2026-08-17,2.53697
오쏘몰,2026-08-24,1.77077
오쏘몰 이뮨,2025-09-01,7.32259
오쏘몰 이뮨,2025-09-08,7.36969
오쏘몰 이뮨,2025-09-15,8.23985
오쏘몰 이뮨,2025-09-22,8.88659
오쏘몰 이뮨,2025-09-29,8.20769
오쏘몰 이뮨,2025-10-06,6.03141
오쏘몰 이뮨,2025-10-13,6.68849
