브랜드,제목,채널명,업로드일,조회수,좋아요수,댓글수,영상URL
오쏘몰,40대·50대가 관심 갖는 오쏘몰 베스트5,최실장백화점,2026-08-26,2,0,1,https://www.youtube.com/watch?v=hq9QPhzyj90
오쏘몰,섭취 전 비교해볼 오쏘몰 추천순위,슈퍼마캣,2026-08-26,3,0,2,https://www.youtube.com/watch?v=Ekamtr0L6LI
오쏘몰,40대·50대가 관심 갖는 오쏘몰 베스트5,판다랭킹TV ,2026-08-26,1,0,1,https://www.youtube.com/watch?v=NYeLTRpbO98
오쏘몰,"육아 동지 선물 고민 끝! 카톡 비타민, 약사는 뭘 살까? (오쏘몰, 옵티젠, 정관장 비교)",약사엄마의 건강한가(家),2026-08-25,8,1,0,https://www.youtube.com/watch?v=5Jph1zI-e1I
오쏘몰,"독일 프리미엄 멀티비타민 오쏘몰 이뮨, 솔직 후기 &amp; 꿀팁 대공개!",싸게잘샀다,2026-08-24,1,0,1,https://www.youtube.com/watch?v=2N0hUQi5tv4
오쏘몰,AI 오쏘몰 광고 #ai #aivideo #광고 #비타민,인큐베이터,2026-08-23,139,4,0,https://www.youtube.com/watch?v=lH8CbbNAuDU
오쏘몰,매일이 달라지는 활력 오쏘몰 추천합니다! ⚡️,아름이 추천템,2026-08-23,0,0,1,https://www.youtube.com/watch?v=ZG5kUazgBhk
오쏘몰,독일 프리미엄 멀티비타민 오쏘몰 바이탈 M: 30일 섭취 후기 &amp; 솔직 리뷰,쇼핑백과,2026-08-22,1,0,1,https://www.youtube.com/watch?v=9Jtjqjin61w
오쏘몰,나를 위한 건강 사치 오쏘몰 멀티비타민,오카마미애🌸オカマミエ🌸,2026-08-19,16,3,1,https://www.youtube.com/watch?v=gcKjlvx-gl4
오쏘몰,오쏘몰이뮨 고민 끝! 간편하고 든든한 멀티 비타민 추천합니다 ✨,귀요미네 쇼핑,2026-08-18,0,0,1,https://www.youtube.com/watch?v=8K1qzdU_HdQ
오쏘몰,오쏘몰 딱 한번만 써보면 이해해요 Top5,뿌까,2026-08-18,1,0,1,https://www.youtube.com/watch?v=JddeiuY3_Dw
오쏘몰,지친 나를 채우다. 오쏘몰 이뮨,지금 사야 돼,2026-08-17,282,1,1,https://www.youtube.com/watch?v=EMZVCUxPVsE
오쏘몰,[광고] 💛2026년 가성비 오쏘몰 추천 TOP5💛,쇼핑고민끝,2026-08-16,222,0,0,https://www.youtube.com/watch?v=ybMTcqJqvqY
오쏘몰,[광고] 2026년 가성비 오쏘몰 추천 TOP5,쇼핑고민끝,2026-08-16,3,0,0,https://www.youtube.com/watch?v=BXlFuGZ_URM
