날짜,비타민,오메가3,유산균,루테인,마그네슘
2025-09-07,65,11,18,1,9
2025-09-14,88,12,18,2,10
2025-09-21,79,10,17,1,10
2025-09-28,69,9,15,2,10
2025-10-05,66,8,14,1,9
2025-10-12,66,11,17,1,10
2025-10-19,58,10,15,1,11
2025-10-26,57,9,15,1,10
2025-11-02,62,11,15,2,9
2025-11-09,57,12,15,2,9
2025-11-16,58,10,15,1,10
2025-11-23,60,12,15,1,11
2025-11-30,57,10,16,1,9
2025-12-07,57,11,15,1,10
2025-12-14,55,10,15,1,9
2025-12-21,56,11,14,1,9
2025-12-28,64,11,16,2,9
2026-01-04,66,12,17,1,10
2026-01-11,71,12,17,2,9
2026-01-18,65,14,19,1,10
2026-01-25,70,13,19,2,10
2026-02-01,69,13,18,1,11
2026-02-08,69,12,17,2,10
2026-02-15,67,10,15,1,9
2026-02-22,71,12,17,1,9
2026-03-01,68,11,17,1,10
2026-03-08,72,13,20,1,12
2026-03-15,67,14,21,1,12
2026-03-22,65,11,18,1,10
2026-03-29,69,12,17,1,11
2026-04-05,67,12,18,1,11
2026-04-12,66,14,18,1,10
2026-04-19,67,16,18,1,11
2026-04-26,65,13,16,1,11
2026-05-03,68,12,17,1,11
2026-05-10,68,12,18,1,10
2026-05-17,65,12,17,1,9
2026-05-24,65,13,16,1,9
2026-05-31,62,11,17,1,9
2026-06-07,58,12,16,1,9
2026-06-14,60,13,16,1,10
2026-06-21,62,12,16,1,10
2026-06-28,65,14,17,2,10
2026-07-05,71,14,17,2,11
2026-07-12,66,13,18,1,9
2026-07-19,88,11,18,2,9
2026-07-26,91,12,16,1,9
2026-08-02,100,12,16,1,11
2026-08-09,86,12,18,2,10
2026-08-16,80,12,18,1,12
2026-08-23,87,13,20,1,11
2026-08-30,86,14,22,2,12
2026-09-06,83,14,21,1,12
